"period","zone","gender","cancer","count"
"2000-2004","S01001801","All","Prostate Cancer",2
"2003-2007","S01001801","All","Prostate Cancer",4
"1998-2002","S01001797","All","Prostate Cancer",4
"2004-2008","S01001793","All","Prostate Cancer",2
"2002-2006","S01001799","All","Prostate Cancer",3
"2001-2005","S01001791","All","Prostate Cancer",2
"2001-2005","S01001800","All","Prostate Cancer",1
"2001-2005","S01001799","All","Prostate Cancer",1
"2005-2009","S01001801","All","Prostate Cancer",4
"2002-2006","S01001804","All","Prostate Cancer",2
"1999-2003","S01001797","All","Prostate Cancer",5
"2003-2007","S01001797","All","Prostate Cancer",2
"2003-2007","S01001793","All","Prostate Cancer",2
"1997-2001","S01001791","All","Prostate Cancer",1
"2002-2006","S01001797","All","Prostate Cancer",3
"2004-2008","S01001798","All","Prostate Cancer",5
"2005-2009","S01001799","All","Prostate Cancer",3
"2001-2005","S01001796","All","Prostate Cancer",2
"2000-2004","S01001793","All","Prostate Cancer",1
"1998-2002","S01001796","All","Prostate Cancer",1
"2002-2006","S01001793","All","Prostate Cancer",1
"2000-2004","S01001796","All","Prostate Cancer",1
"2003-2007","S01001803","All","Prostate Cancer",0
"1997-2001","S01001803","All","Prostate Cancer",0
"1997-2001","S01001804","All","Prostate Cancer",3
"1997-2001","S01001793","All","Prostate Cancer",0
"2001-2005","S01001804","All","Prostate Cancer",2
"1997-2001","S01001801","All","Prostate Cancer",1
"1998-2002","S01001804","All","Prostate Cancer",3
"2004-2008","S01001801","All","Prostate Cancer",5
"2003-2007","S01001804","All","Prostate Cancer",2
"2000-2004","S01001803","All","Prostate Cancer",0
"2003-2007","S01001796","All","Prostate Cancer",6
"2004-2008","S01001803","All","Prostate Cancer",1
"1999-2003","S01001799","All","Prostate Cancer",1
"1998-2002","S01001803","All","Prostate Cancer",0
"2005-2009","S01001796","All","Prostate Cancer",8
"1999-2003","S01001791","All","Prostate Cancer",2
"1997-2001","S01001796","All","Prostate Cancer",1
"2004-2008","S01001796","All","Prostate Cancer",7
"1998-2002","S01001791","All","Prostate Cancer",1
"1998-2002","S01001793","All","Prostate Cancer",0
"1999-2003","S01001801","All","Prostate Cancer",1
"2000-2004","S01001791","All","Prostate Cancer",2
"2005-2009","S01001793","All","Prostate Cancer",3
"1998-2002","S01001790","All","Prostate Cancer",1
"1999-2003","S01001796","All","Prostate Cancer",1
"1999-2003","S01001800","All","Prostate Cancer",1
"2002-2006","S01001796","All","Prostate Cancer",3
"1999-2003","S01001793","All","Prostate Cancer",1
"2002-2006","S01001801","All","Prostate Cancer",4
"1999-2003","S01001792","All","Prostate Cancer",1
"2005-2009","S01001790","All","Prostate Cancer",5
"2002-2006","S01001803","All","Prostate Cancer",0
"2004-2008","S01001802","All","Prostate Cancer",1
"2005-2009","S01001795","All","Prostate Cancer",2
"2004-2008","S01001795","All","Prostate Cancer",2
"2005-2009","S01001792","All","Prostate Cancer",8
"2005-2009","S01001791","All","Prostate Cancer",4
"2003-2007","S01001795","All","Prostate Cancer",2
"2005-2009","S01001803","All","Prostate Cancer",2
"2000-2004","S01001800","All","Prostate Cancer",1
"2002-2006","S01001795","All","Prostate Cancer",0
"2001-2005","S01001795","All","Prostate Cancer",0
"2000-2004","S01001798","All","Prostate Cancer",6
"2000-2004","S01001795","All","Prostate Cancer",1
"2001-2005","S01001792","All","Prostate Cancer",2
"2002-2006","S01001792","All","Prostate Cancer",5
"1998-2002","S01001802","All","Prostate Cancer",0
"1998-2002","S01001792","All","Prostate Cancer",1
"1999-2003","S01001803","All","Prostate Cancer",0
"2005-2009","S01001802","All","Prostate Cancer",1
"2002-2006","S01001791","All","Prostate Cancer",5
"1999-2003","S01001795","All","Prostate Cancer",1
"2004-2008","S01001791","All","Prostate Cancer",3
"2003-2007","S01001790","All","Prostate Cancer",4
"1999-2003","S01001790","All","Prostate Cancer",1
"1997-2001","S01001790","All","Prostate Cancer",1
"1998-2002","S01001795","All","Prostate Cancer",1
"2004-2008","S01001800","All","Prostate Cancer",1
"1997-2001","S01001795","All","Prostate Cancer",1
"2002-2006","S01001802","All","Prostate Cancer",0
"2000-2004","S01001790","All","Prostate Cancer",0
"2003-2007","S01001791","All","Prostate Cancer",4
"2002-2006","S01001790","All","Prostate Cancer",4
"2003-2007","S01001792","All","Prostate Cancer",6
"2000-2004","S01001804","All","Prostate Cancer",3
"2001-2005","S01001803","All","Prostate Cancer",0
"2004-2008","S01001790","All","Prostate Cancer",5
"2004-2008","S01001804","All","Prostate Cancer",2
"2003-2007","S01001794","All","Prostate Cancer",3
"2000-2004","S01001799","All","Prostate Cancer",2
"1997-2001","S01001799","All","Prostate Cancer",1
"1997-2001","S01001792","All","Prostate Cancer",1
"2005-2009","S01001804","All","Prostate Cancer",1
"2004-2008","S01001792","All","Prostate Cancer",7
"1999-2003","S01001794","All","Prostate Cancer",4
"1998-2002","S01001799","All","Prostate Cancer",1
"2001-2005","S01001794","All","Prostate Cancer",3
"2004-2008","S01001794","All","Prostate Cancer",3
"2003-2007","S01001802","All","Prostate Cancer",1
"2001-2005","S01001802","All","Prostate Cancer",0
"1997-2001","S01001802","All","Prostate Cancer",0
"2002-2006","S01001794","All","Prostate Cancer",3
"1999-2003","S01001802","All","Prostate Cancer",0
"2005-2009","S01001792","All","Malignant Neoplasms",30
"2000-2004","S01001790","All","Malignant Neoplasms",18
"2003-2007","S01001803","All","Malignant Neoplasms",19
"2004-2008","S01001792","All","Malignant Neoplasms",25
"2001-2005","S01001790","All","Malignant Neoplasms",18
"2003-2007","S01001792","All","Malignant Neoplasms",26
"2004-2008","S01001801","All","Malignant Neoplasms",34
"1998-2002","S01001792","All","Malignant Neoplasms",23
"2000-2004","S01001791","All","Malignant Neoplasms",15
"2002-2006","S01001803","All","Malignant Neoplasms",17
